iter	Passed	Remaining
1428	3450	238011
1429	3452	237986
1430	3454	237974
1431	3457	237990
1432	3460	238010
1433	3462	238012
1434	3465	238000
1435	3467	237995
1436	3469	237993
1437	3471	237970
1438	3474	237992
1439	3477	237985
1440	3479	237987
1441	3482	238005
1442	3484	238012
1443	3487	238011
1444	3489	238012
1445	3492	238008
1446	3494	238010
1447	3496	237989
1448	3498	237977
1449	3501	237987
1450	3504	237992
1451	3506	237966
1452	3508	237965
1453	3510	237956
1454	3513	237959
1455	3515	237959
1456	3518	237959
1457	3520	237925
1458	3522	237913
1459	3525	237923
1460	3527	237930
1461	3530	237963
1462	3532	237955
1463	3535	237942
1464	3537	237937
1465	3539	237927
1466	3542	237904
1467	3544	237874
1468	3546	237875
1469	3548	237860
1470	3551	237859
1471	3553	237861
1472	3556	237865
1473	3558	237832
1474	3560	237816
1475	3562	237801
1476	3564	237794
1477	3567	237793
1478	3569	237795
1479	3571	237766
1480	3574	237802
1481	3577	237814
1482	3579	237821
1483	3582	237818
1484	3584	237817
1485	3588	237875
1486	3590	237863
1487	3592	237847
1488	3595	237889
1489	3598	237893
1490	3600	237912
1491	3603	237920
1492	3605	237919
1493	3608	237932
1494	3610	237926
1495	3613	237917
1496	3615	237928
1497	3618	237905
1498	3620	237908
1499	3623	237913
1500	3625	237887
1501	3627	237913
1502	3630	237929
1503	3633	237946
1504	3635	237953
1505	3638	237943
1506	3640	237924
1507	3642	237898
1508	3645	237927
1509	3647	237904
1510	3650	237923
1511	3652	237924
1512	3655	237918
1513	3657	237907
1514	3659	237898
1515	3662	237903
1516	3664	237907
1517	3667	237904
1518	3669	237895
1519	3671	237886
1520	3674	237878
1521	3676	237863
1522	3678	237875
1523	3681	237864
1524	3683	237843
1525	3685	237837
1526	3687	237830
1527	3690	237813
1528	3692	237804
1529	3694	237786
1530	3697	237780
1531	3699	237781
1532	3701	237759
1533	3703	237747
1534	3706	237737
1535	3708	237732
1536	3710	237726
1537	3713	237720
1538	3715	237721
1539	3718	237747
1540	3721	237765
1541	3723	237767
1542	3725	237741
1543	3727	237716
1544	3730	237700
1545	3732	237694
1546	3734	237688
1547	3737	237684
1548	3739	237672
1549	3741	237667
1550	3744	237674
1551	3746	237653
1552	3748	237650
1553	3751	237657
1554	3753	237654
1555	3756	237665
1556	3758	237650
1557	3761	237648
1558	3763	237632
1559	3766	237651
1560	3768	237637
1561	3770	237629
1562	3772	237606
1563	3775	237600
1564	3777	237566
1565	3779	237567
1566	3781	237570
1567	3784	237571
1568	3786	237545
1569	3788	237540
1570	3791	237538
1571	3793	237532
1572	3795	237521
1573	3798	237515
1574	3800	237509
1575	3802	237498
1576	3805	237499
1577	3807	237501
1578	3810	237512
1579	3812	237481
1580	3814	237458
1581	3816	237458
1582	3819	237444
1583	3821	237431
1584	3824	237458
1585	3826	237462
1586	3829	237461
1587	3832	237481
1588	3834	237452
1589	3836	237458
1590	3839	237458
1591	3841	237459
1592	3843	237439
1593	3846	237437
1594	3848	237420
1595	3850	237403
1596	3852	237405
1597	3855	237408
1598	3858	237420
1599	3860	237431
1600	3862	237410
1601	3865	237402
1602	3867	237381
1603	3869	237383
1604	3872	237377
1605	3874	237386
1606	3877	237395
1607	3879	237393
1608	3882	237394
1609	3884	237386
1610	3886	237382
1611	3889	237384
1612	3891	237371
1613	3893	237353
1614	3895	237333
1615	3898	237324
1616	3900	237323
1617	3902	237304
1618	3905	237324
1619	3908	237328
1620	3910	237334
1621	3913	237343
1622	3915	237357
1623	3917	237337
1624	3920	237324
1625	3922	237321
1626	3925	237325
1627	3927	237325
1628	3930	237329
1629	3933	237374
1630	3935	237364
1631	3938	237380
1632	3940	237366
1633	3942	237351
1634	3944	237337
1635	3947	237332
1636	3949	237338
1637	3952	237341
1638	3955	237353
1639	3957	237345
1640	3959	237343
1641	3961	237328
1642	3964	237328
1643	3966	237304
1644	3969	237309
1645	3971	237312
1646	3974	237316
1647	3976	237324
1648	3979	237320
1649	3981	237336
1650	3984	237327
1651	3986	237322
1652	3988	237310
1653	3990	237298
1654	3993	237317
1655	3995	237296
1656	3997	237279
1657	4000	237277
1658	4003	237288
1659	4005	237302
1660	4007	237275
1661	4010	237276
1662	4012	237280
1663	4014	237260
1664	4016	237243
1665	4019	237239
1666	4021	237238
1667	4024	237231
1668	4026	237227
1669	4028	237222
1670	4031	237253
1671	4034	237235
1672	4036	237241
1673	4039	237239
1674	4041	237223
1675	4043	237213
1676	4046	237241
1677	4048	237240
1678	4051	237230
1679	4054	237258
1680	4056	237264
1681	4058	237249
1682	4061	237249
1683	4063	237249
1684	4066	237251
1685	4068	237232
1686	4070	237238
1687	4072	237212
1688	4075	237225
1689	4077	237206
1690	4080	237234
1691	4083	237232
1692	4085	237215
1693	4087	237206
1694	4089	237204
1695	4092	237190
1696	4094	237168
1697	4096	237167
1698	4099	237173
1699	4101	237165
1700	4104	237187
1701	4106	237182
1702	4109	237187
1703	4112	237214
1704	4114	237212
